,LOST_DATE,CLOSE_DATE,SHOP_ID,CANAL,MACRO_INDUSTRY,ENGAGEMENT_TYPE,OPPORTUNITY_TYPE,TEAM,LOSS_TYPE,LOST_MRR,COACH,ZIPCODE,CITY,COUNTRY,OPENING_TIME,CLOSING_TIME,IS_CANCELLED,CANCELLED_AT,AUTOMATIC_PLANNING_USES,POPULAR_SHIFTS_COUNT,OPTIMISATION_ACTIVATED_BY_HAND,MEAL_COMPENSATION_ACTIVATED,SEND_REPORT_BY_EMAIL,DAY_BADGING_ACTIVATED,CONFIGURED,BADGING,AUTOMATIC_PLANNING_ACTIVE,INTEGRATIONS,LATITUDE,LONGITUDE,CREATED_AT
0,2022-01-24,2021-10-31,10604,Outbound,Hospitality,Annuel,Newbiz,,Churn,138.0,maelle.briot@skello.io,20137,LECCI,FR,2022-04-15 00:00:00.000000000,2022-04-15 00:00:00.000000000,False,,0,5,False,False,False,False,True,True,False,,41.6218643,9.3383827,2021-10-18 13:04:12.432716000
1,2022-02-27,2021-09-30,3731,Outbound,Hospitality,Mensuel,Contract Change,,Churn,109.0,hello@skello.io,31170,Tournefeuille ,FR,2019-07-22 07:00:00.000000000,2019-07-22 02:00:00.000000000,True,2022-03-07 09:45:02.968000000,0,5,True,True,False,False,True,False,False,,43.5781806,1.3526038,2019-07-25 09:21:04.397026000
2,2022-01-04,2021-09-30,10431,Inbound,Hospitality,Mensuel,Newbiz,Outbound,Churn,139.0,baptiste@skello.io,37170,CHAMBRAY LES TOURS,FR,2021-10-18 09:00:00.000000000,2021-10-18 00:00:00.000000000,True,2022-01-04 00:00:00.000000000,0,5,False,True,False,False,True,True,False,,47.32064829999999,0.7088112999999999,2021-09-29 16:45:20.152037000
3,2021-10-27,2020-10-27,7623,Inbound,Hospitality,Annuel,Newbiz,,Churn,142.2,marie-victoire@skello.io,73700,Bourg Saint Maurice,FR,2021-08-01 00:00:00.000000000,2021-08-01 00:00:00.000000000,True,2021-10-27 00:00:00.000000000,0,5,True,True,False,False,True,False,False,,45.591389,6.769209999999999,2020-10-26 10:01:48.877575000
4,2022-03-11,2021-09-30,3347,Outbound,Hospitality,Mensuel,Contract Change,,Churn,139.0,maelle.briot@skello.io,83480,PUGET SUR ARGENS,FR,2020-12-17 06:00:00.000000000,2020-12-17 02:00:00.000000000,True,2022-03-24 12:20:42.046000000,0,5,True,True,False,False,True,True,False,steak_n_shake,43.4755902,6.6905458,2019-05-22 14:43:06.142061000
5,2021-06-01,2021-04-21,4017,Outbound,Retail,Mensuel,Contract Change,CSM,Churn,109.0,timothee@skello.io,75001,Paris,FR,2019-05-13 08:00:00.000000000,2019-05-13 22:00:00.000000000,True,2021-06-04 16:50:39.488000000,0,5,False,True,False,False,True,False,False,,48.8617864,2.3340278,2019-09-20 08:02:18.912756000
6,2021-12-14,2021-05-15,5693,Outbound,Hospitality,Annuel,Contract Change,CSM,Churn,169.2,agathe.lemaistre@skello.io,75002,Paris,FR,2021-08-15 06:00:00.000000000,2021-08-15 22:00:00.000000000,True,2021-12-14 00:00:00.000000000,0,5,False,True,False,False,True,True,False,,48.8690311,2.3360895,2020-02-01 00:25:03.930123000
7,2022-01-05,2021-07-01,524,Outbound,Hospitality,Mensuel,Contract Change,,Churn,109.0,maelle.briot@skello.io,44 500,La Baule,FR,2021-04-22 00:00:00.000000000,2021-04-22 00:00:00.000000000,True,2022-01-31 00:00:00.000000000,0,5,False,True,False,False,True,False,False,,47.2827801,-2.3976374,2017-08-30 14:17:49.600694000
8,2021-06-22,2021-01-21,8248,Outbound,Retail,Mensuel,Newbiz,Outbound,Churn,158.0,ilona.dronne@skello.io,31620,CASTELNAU D ESTRETEFONDS,FR,2021-03-16 03:00:00.000000000,2021-03-16 00:00:00.000000000,True,2021-06-22 00:00:00.000000000,0,5,True,False,False,False,True,False,False,,,,2021-01-14 09:52:20.730838000
9,2021-12-01,2020-03-25,6151,Inbound,Health,Mensuel,Newbiz,,Churn,89.0,marie-victoire@skello.io,76420,BIHOREL,FR,2021-07-03 07:00:00.000000000,2021-07-03 22:00:00.000000000,True,2021-12-01 00:00:00.000000000,0,5,True,False,False,False,True,False,False,,49.4672156,1.1411824,2020-03-23 16:17:01.390038000
10,2021-09-07,2021-07-12,9745,Inbound,Industry & Services,Mensuel,Newbiz,Inbound,Churn,129.0,hello@skello.io,06270,Villeneuve-Loubet,FR,2021-07-12 08:00:00.000000000,2021-07-12 20:00:00.000000000,True,2021-09-07 00:00:00.000000000,0,5,False,True,False,False,True,False,False,payfit,,,2021-07-12 14:04:02.240132000
11,2021-07-30,2021-06-30,9652,Inbound,Health,Mensuel,Newbiz,Outbound,Churn,109.0,louise@skello.io,93190,LIVRY GARGAN,FR,2021-06-29 00:00:00.000000000,2021-06-29 00:00:00.000000000,True,2021-09-20 18:03:04.975000000,0,5,False,False,False,False,True,False,False,,,,2021-06-29 10:52:17.053401000
12,2021-10-21,2020-10-22,1837,Outbound,Hospitality,Annuel,Contract Change,CSM,Churn,160.74,meng-lan@skello.io,35400,Saint-Malo,FR,2021-07-20 00:00:00.000000000,2021-07-20 00:00:00.000000000,True,2021-11-15 00:00:00.000000000,0,10,False,True,False,False,True,True,False,bhi,48.6393961,-2.0141803,2018-09-11 06:40:30.218483000
13,2021-08-30,2019-02-26,2788,Outbound,Hospitality,Mensuel,Newbiz,,Churn,74.0,marie-victoire@skello.io,59800,LILLE,FR,2019-03-25 06:00:00.000000000,2019-03-25 21:00:00.000000000,True,2021-10-30 00:00:00.000000000,0,5,False,False,False,False,True,True,False,,50.6380038,3.0620806,2019-02-14 09:56:41.569766000
14,2021-12-10,2021-10-11,9916,Inbound,Health,Mensuel,Contract Change,Outbound,Churn,109.0,finola@skello.io,65130,CAPVERN,FR,2021-08-03 04:00:00.000000000,2021-08-03 20:00:00.000000000,True,2021-12-10 00:00:00.000000000,0,5,False,False,False,False,True,True,False,,43.1234697,0.3043145,2021-07-30 12:50:50.493150000
15,2021-10-21,2020-10-22,1802,Outbound,Hospitality,Annuel,Contract Change,CSM,Churn,135.09,meng-lan@skello.io,72000,Le Mans ,FR,2021-07-20 00:00:00.000000000,2021-07-20 00:00:00.000000000,True,2021-11-15 00:00:00.000000000,0,5,True,True,False,False,True,False,False,bhi,48.00181629999999,0.2033906,2018-09-03 17:03:48.975490000
16,2021-10-06,2021-03-20,6099,Inbound,Hospitality,Annuel,Renewal,,Churn,59.0,maelle.briot@skello.io,83420,LA CROIX-VALMER,FR,2020-03-12 00:00:00.000000000,2020-03-12 00:00:00.000000000,False,,0,5,False,False,False,False,True,False,False,,,,2020-03-12 08:19:10.994840000
17,2021-06-14,2021-01-31,6289,Outbound,Industry & Services,Mensuel,Contract Change,CSM,Churn,139.0,nina@skello.io,03440,BUXIERES LES MINES,FR,2021-03-15 07:00:00.000000000,2021-03-15 18:00:00.000000000,True,2021-07-12 00:00:00.000000000,0,10,False,False,False,False,True,True,False,,,,2020-04-17 16:21:20.236279000
18,2021-07-26,2021-04-13,8901,Inbound,Hospitality,Mensuel,Newbiz,Inbound,Churn,109.0,marie-victoire@skello.io,83110,Sanary sur mer,FR,2021-04-18 04:00:00.000000000,2021-04-18 20:00:00.000000000,True,2021-09-08 18:36:26.329000000,0,5,True,False,False,False,True,False,False,,,,2021-04-12 13:45:44.440970000
