SHOP_ID,COACH,ZIPCODE,CITY,COUNTRY,OPENING_TIME,CLOSING_TIME,IS_CANCELLED,CANCELLED_AT,AUTOMATIC_PLANNING_USES,POPULAR_SHIFTS_COUNT,OPTIMISATION_ACTIVATED_BY_HAND,MEAL_COMPENSATION_ACTIVATED,SEND_REPORT_BY_EMAIL,DAY_BADGING_ACTIVATED,CONFIGURED,BADGING,AUTOMATIC_PLANNING_ACTIVE,INTEGRATIONS,LATITUDE,LONGITUDE,CREATED_AT
1743,marie-victoire@skello.io,35740,PACE,FR,2018-07-30 09:00:00.000000000,2018-07-30 00:00:00.000000000,true,2021-10-30 00:00:00.000000000,0,5,true,true,false,false,true,false,false,,48.1409196,-1.7674476,2018-07-31 14:29:23.371493000
7623,marie-victoire@skello.io,73700,Bourg Saint Maurice,FR,2021-08-01 00:00:00.000000000,2021-08-01 00:00:00.000000000,true,2021-10-27 00:00:00.000000000,0,5,true,true,false,false,true,false,false,,45.591389,6.769209999999999,2020-10-26 10:01:48.877575000
4763,meng-lan@skello.io,71570 ,CHAINTRE,FR,2021-07-20 00:00:00.000000000,2021-07-20 00:00:00.000000000,true,2021-11-15 00:00:00.000000000,0,5,false,true,false,false,true,false,false,bhi,46.25681729999999,4.7912421,2019-12-05 14:21:31.775364000
8284,hello@skello.io,97434,LA SALINE LES BAINS,FR,2022-01-04 00:00:00.000000000,2022-01-04 00:00:00.000000000,true,2022-01-24 00:00:00.000000000,0,5,false,true,false,false,true,false,false,,-21.0997533,55.24217969999999,2021-01-18 08:18:07.043409000
2054,constance@skello.io, 45100 ,ORLEANS LA SOURCE  ,FR,2020-08-27 05:00:00.000000000,2020-08-27 05:00:00.000000000,true,2021-07-12 00:00:00.000000000,0,20,true,true,false,false,true,false,false,spv,47.814633,1.929799,2018-10-08 12:51:42.495907000
9503,mailyn@skello.io,67000,strasbourg,FR,2021-06-14 08:00:00.000000000,2021-06-14 00:00:00.000000000,true,2021-10-15 00:00:00.000000000,0,5,false,true,false,false,true,true,false,,,,2021-06-12 08:08:19.668374000
9143,adele@skello.io,59160,Halluin,FR,2021-04-30 05:00:00.000000000,2021-04-30 20:00:00.000000000,true,2021-06-29 00:00:00.000000000,0,5,false,false,false,false,true,false,false,,,,2021-04-30 07:51:55.731963000
3781,hello@skello.io,08000,Charleville-mezieres,FR,2021-08-31 07:00:00.000000000,2021-08-31 03:00:00.000000000,true,2021-10-15 00:00:00.000000000,0,5,true,true,false,false,true,true,false,,49.7391657,4.7229825,2019-07-31 14:10:13.258299000
4771,meng-lan@skello.io,28000,CHARTRES,FR,2021-07-20 00:00:00.000000000,2021-07-20 00:00:00.000000000,true,2021-11-15 00:00:00.000000000,0,5,true,true,false,false,true,false,false,bhi,48.447505,1.482671,2019-12-05 17:33:02.519846000
4373,minea@skello.io,34470,PEROLS,FR,2022-05-09 00:00:00.000000000,2022-05-09 00:00:00.000000000,false,,0,10,false,true,false,false,true,true,false,,43.58025970000001,3.9379792,2019-10-29 16:11:35.187977000
5888,agathe.lemaistre@skello.io,44300,NANTES,FR,2020-03-02 06:00:00.000000000,2020-03-02 04:00:00.000000000,false,,0,5,true,true,false,false,true,true,false,,47.259204,-1.5316443,2020-02-19 10:06:44.040602000
1777,meng-lan@skello.io,77000,Melun,FR,2021-07-20 00:00:00.000000000,2021-07-20 00:00:00.000000000,true,2021-11-15 00:00:00.000000000,0,5,true,true,false,false,true,true,false,bhi,48.5513162,2.665914,2018-08-27 14:33:52.013612000
2503,meng-lan@skello.io,87000,Limoges,FR,2021-07-20 00:00:00.000000000,2021-07-20 00:00:00.000000000,true,2021-11-15 00:00:00.000000000,0,5,true,true,false,false,true,true,false,bhi,45.8345312,1.2681411,2018-12-19 11:10:31.287190000
238,agathe.lemaistre@skello.io,75009,Paris,FR,2020-09-07 00:00:00.000000000,2020-09-07 00:00:00.000000000,false,,0,5,true,true,false,false,true,false,false,french_hotel,48.8786862,2.3277666,2017-01-31 14:41:57.557924000
8229,raphael@skello.io,69005,LYON,FR,2021-01-15 12:00:00.000000000,2021-01-15 04:00:00.000000000,true,2021-03-17 00:00:00.000000000,0,5,true,true,false,false,true,false,false,,,,2021-01-12 11:02:57.038065000
3301,agathe.lemaistre@skello.io,97400,Saint-Denis,RE,2022-05-09 06:00:00.000000000,2022-05-09 02:00:00.000000000,false,,0,5,true,true,false,false,true,true,false,,-20.8779255,55.4501579,2019-05-16 05:21:25.421381000
2006,florian@skello.io,59800,LILLE,FR,2020-03-16 00:00:00.000000000,2020-03-16 00:00:00.000000000,true,2021-08-16 17:55:27.223000000,0,5,false,false,false,false,true,false,false,payfit,50.639316,3.0634201,2018-10-05 12:49:05.738697000
2517,hello@skello.io,75018,paris,FR,2018-12-31 08:00:00.000000000,2018-12-31 00:00:00.000000000,true,2021-06-14 01:15:02.047758000,0,10,true,true,false,false,true,false,false,,48.888394,2.3353051,2018-12-27 07:57:44.013541000
2744,agathe.lemaistre@skello.io,68100,MULHOUSE ,FR,2019-02-04 06:00:00.000000000,2019-02-04 01:00:00.000000000,true,2021-10-15 00:00:00.000000000,0,5,false,true,false,false,true,true,false,,47.7469519,7.3328945,2019-02-05 14:20:20.646472000
1838,meng-lan@skello.io,37000,Tours,FR,2021-07-20 00:00:00.000000000,2021-07-20 00:00:00.000000000,true,2021-11-15 00:00:00.000000000,0,5,true,true,false,false,true,false,false,bhi,47.3871361,0.6976186999999999,2018-09-11 06:46:42.615748000
9949,shannen@skello.io,57000,Metz,FR,2021-09-20 09:00:00.000000000,2021-09-20 00:00:00.000000000,true,2021-11-01 00:00:00.000000000,0,5,false,false,false,false,true,false,false,,,,2021-08-06 07:33:51.425653000
4678,agathe.lemaistre@skello.io,75006,Paris,FR,2021-02-10 06:00:00.000000000,2021-02-10 00:00:00.000000000,true,2021-10-15 00:00:00.000000000,0,5,false,true,false,false,true,true,false,,,,2019-11-29 15:25:31.986297000
9046,maelle.briot@skello.io,39300,CHAMPAGNOLE,FR,2021-12-02 09:00:00.000000000,2021-12-02 19:00:00.000000000,true,2022-01-17 00:00:00.000000000,0,5,false,true,false,false,true,false,false,,46.748064,5.920971,2021-04-23 12:43:16.987238000
5410,timothee@skello.io,,,FR,2018-10-12 05:00:00.000000000,2018-10-12 21:00:00.000000000,false,,0,12,true,false,false,false,true,true,false,hanagroup,,,2020-01-08 19:17:17.596727000
10598,maelle.briot@skello.io,75009,Paris,FR,2021-11-17 07:00:00.000000000,2021-11-17 23:00:00.000000000,false,,0,5,false,false,false,false,true,true,false,,48.8739752,2.3280554,2021-10-18 10:44:01.369765000
12130,baptiste@skello.io,,,FR,2022-01-15 07:00:00.000000000,2022-01-15 20:00:00.000000000,true,2022-02-15 00:00:00.000000000,0,5,false,false,false,false,true,false,false,,37.6752215,-97.40980599999999,2022-01-15 18:02:35.481130000
4966,hello@skello.io,33150,Cenon,FR,2021-11-07 08:00:00.000000000,2021-11-07 02:00:00.000000000,false,,0,5,true,true,false,false,true,true,false,,44.8575341,-0.532332,2019-12-17 16:49:58.661566000
13478,julian.s@skello.io,97420,Le Port,FR,2022-02-25 00:00:00.000000000,2022-02-25 00:00:00.000000000,true,2022-03-30 00:00:00.000000000,0,5,false,false,false,false,true,true,false,,-20.9410165,55.2948268,2022-02-25 22:39:55.980294000
